stock-code,reference-price,celling-price,floor-price,price,volume,total-volume,total-value,highest-price,lowest-price,average-price,create-at
PSD,0.0,13.3,14.6,0.1,13.4,1.7,105.0,0.0,13.5,13.2,2024-05-21 10:36:41.335015
PSE,0.0,10.4,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:41.742154
PSI,0.0,8.0,8.8,0.1,8.1,1.3,65.4,0.0,8.1,8.0,2024-05-21 10:36:42.109458
PSW,0.0,8.0,8.8,0.0,8.0,0.4,0.5,0.0,8.0,8.0,2024-05-21 10:36:42.560112
PTD,0.0,10.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:42.938871
PTI,0.0,32.1,35.3,0.0,32.1,0.1,0.2,0.0,32.1,32.1,2024-05-21 10:36:43.246500
PTS,0.0,8.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:43.623327
PV2,0.0,3.0,3.3,0.0,3.0,1.0,75.8,0.0,3.1,2.9,2024-05-21 10:36:43.965698
PVB,0.0,29.5,32.4,0.9,30.4,0.6,253.5,0.0,30.6,29.5,2024-05-21 10:36:44.519687
PVC,0.0,15.7,17.2,0.3,16.0,0.1,979.6,0.0,16.1,15.6,2024-05-21 10:36:44.856770
PVG,0.0,8.7,9.5,0.0,8.7,0.5,1.6,0.0,8.7,8.7,2024-05-21 10:36:45.157809
PVI,0.0,53.9,59.2,-0.1,53.8,0.2,7.6,0.0,54.0,53.6,2024-05-21 10:36:45.491193
PVS,0.0,44.7,49.1,0.5,45.2,0.1,3600.7,0.0,45.4,44.1,2024-05-21 10:36:45.808047
QHD,0.0,37.9,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:46.140494
QST,0.0,20.2,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:46.702080
QTC,0.0,12.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:47.042553
RCL,0.0,12.4,13.6,0.0,12.4,0.2,0.2,0.0,12.4,12.4,2024-05-21 10:36:47.434885
S55,0.0,48.5,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:52.081838
S99,0.0,12.8,14.0,0.0,12.8,5.0,193.6,0.0,13.0,12.7,2024-05-21 10:36:52.574046
SAF,0.0,49.0,53.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:52.995169
SD9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:53.772369
SDA,0.0,6.1,6.7,-0.1,6.0,1.0,10.3,0.0,6.1,6.0,2024-05-21 10:36:54.257928
SDC,0.0,7.5,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:54.756763
SDG,0.0,16.8,18.4,0.0,16.8,1.0,1.0,0.0,16.8,16.8,2024-05-21 10:36:55.269791
SDN,0.0,31.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:55.715720
SDU,0.0,19.6,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:56.277933
SEB,0.0,47.2,51.9,0.0,47.2,0.1,1.6,0.0,47.2,47.2,2024-05-21 10:36:56.762151
SED,0.0,22.0,24.2,-0.2,21.8,0.1,16.1,0.0,22.0,21.8,2024-05-21 10:36:57.263818
SFN,0.0,21.7,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:57.763189
SGC,0.0,82.0,90.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:58.207938
SGD,0.0,9.8,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:58.661173
SGH,0.0,26.6,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:36:59.144066
SHE,0.0,9.0,9.9,0.0,9.0,0.1,0.4,0.0,9.1,9.0,2024-05-21 10:36:59.574712
SHN,0.0,7.1,7.8,0.5,7.6,0.1,0.1,0.0,7.6,7.6,2024-05-21 10:37:00.107612
SHS,0.0,19.6,21.5,-0.1,19.5,0.1,6170.2,0.0,19.7,17.7,2024-05-21 10:37:00.567315
SJ1,0.0,11.6,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:37:01.047886
SJE,0.0,20.7,22.7,0.0,20.7,0.5,30.2,0.0,20.8,20.5,2024-05-21 10:37:02.037818
SLS,0.0,162.5,178.7,5.5,168.0,0.1,16.0,0.0,169.0,162.5,2024-05-21 10:37:02.491222
SMN,0.0,11.9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:37:02.905706
SMT,0.0,6.1,6.7,-0.5,5.6,0.1,0.2,0.0,5.7,5.6,2024-05-21 10:37:03.388548
SPC,0.0,8.6,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:37:03.917605
SPI,0.0,2.7,2.9,0.0,2.7,0.2,42.5,0.0,2.7,2.6,2024-05-21 10:37:04.400937
SRA,0.0,3.7,4.0,-0.1,3.6,1.8,93.8,0.0,3.7,3.6,2024-05-21 10:37:04.976727
SSM,0.0,6.1,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:37:05.481701
STC,0.0,17.5,19.2,0.5,18.0,0.1,0.2,0.0,18.0,17.5,2024-05-21 10:37:05.970678
STP,0.0,11.2,12.3,-0.8,10.4,0.1,0.3,0.0,11.4,10.4,2024-05-21 10:37:06.533326
SVN,0.0,3.4,3.7,0.0,3.4,1.0,1.0,0.0,3.4,3.4,2024-05-21 10:37:07.049613
SZB,0.0,42.8,47.0,-0.6,42.2,1.0,4.8,0.0,42.3,42.2,2024-05-21 10:37:07.588355
TA9,0.0,13.4,14.7,-0.1,13.3,0.5,7.7,0.0,13.3,13.2,2024-05-21 10:37:07.965432
TBX,0.0,22.3,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:37:08.360662
TC6,0.0,10.4,11.4,0.1,10.5,0.7,48.2,0.0,10.5,10.3,2024-05-21 10:37:08.894783
TDN,0.0,11.1,12.2,-0.1,11.0,0.1,82.3,0.0,11.2,10.9,2024-05-21 10:37:09.397036
TDT,0.0,7.4,8.1,0.0,7.4,10.0,79.0,0.0,7.4,7.1,2024-05-21 10:37:09.890362
TET,0.0,28.6,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:37:10.432793
TFC,0.0,12.5,13.7,0.0,12.5,0.3,1.5,0.0,12.6,12.4,2024-05-21 10:37:10.929566
THB,0.0,11.9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:37:11.379243
THD,0.0,35.7,39.2,0.0,35.7,0.6,1.5,0.0,35.8,35.7,2024-05-21 10:37:11.797395
THS,0.0,11.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21 10:37:12.304779
THT,0.0,13.5,14.8,-0.1,13.4,2.1,29.1,0.0,13.5,13.4,2024-05-21 10:37:12.807424
TIG,0.0,14.7,16.1,0.2,14.9,3.0,2785.1,0.0,15.2,14.3,2024-05-21 10:37:13.192901
